graph,matrix type,start nodes proportion,query,method,run number,execution time in sec
pizza,csr,0.05,disjointWith*,tensor,25,1.3119567916728556
pizza,csr,0.05,disjointWith*,bfs,25,1.1021081251092255
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,1,4.541229917202145
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,1,1.243239457719028
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,2,4.534819083288312
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,2,1.251020709052682
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,3,4.572826249990612
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,3,1.2540792496874928
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,4,4.529034124687314
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,4,1.35004729218781
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,5,4.454485833179206
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,5,1.342127291020006
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,6,4.460763374809176
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,6,1.3185973749496043
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,7,4.5397018333896995
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,7,1.240742125082761
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,8,4.5633674999699
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,8,1.5543302921578288
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,9,5.278139374684542
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,9,1.261340333148837
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,10,4.9951656251214445
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,10,1.420984041877091
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,11,4.824821665883064
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,11,1.3548432500101626
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,12,4.450080459006131
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,12,1.3133408329449594
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,13,4.5448880000039935
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,13,1.2559711248613894
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,14,4.5146697498857975
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,14,1.2396139996126294
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,15,4.6348418751731515
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,15,1.2594894161447883
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,16,5.858556124847382
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,16,1.263516000006348
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,17,4.54264899995178
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,17,1.3456157501786947
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,18,4.484108000062406
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,18,1.3220404996536672
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,19,4.534948249813169
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,19,1.2559013753198087
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,20,4.5307246670126915
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,20,1.2557434998452663
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,21,4.553548957686871
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,21,1.2518938751891255
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,22,4.581657915841788
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,22,1.2499899580143392
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,23,4.511321375146508
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,23,1.354544083122164
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,24,4.453622583299875
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,24,1.337005542125553
pizza,csc,0.05,(disjointWith | type)* subClassOf,tensor,25,4.461306833196431
pizza,csc,0.05,(disjointWith | type)* subClassOf,bfs,25,1.306514416821301
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,1,9.213796459138393
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,1,1.4044353337958455
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,2,9.29024670785293
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,2,1.401205750182271
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,3,9.221834790892899
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,3,1.5027419161051512
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,4,9.68316795816645
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,4,1.4648292502388358
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,5,10.254233584273607
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,5,1.4023831249214709
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,6,9.687796708196402
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,6,1.4180439161136746
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,7,10.510667708236724
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,7,1.5621712910942733
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,8,10.282336332835257
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,8,1.467966249678284
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,9,9.611267750151455
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,9,1.4109325832687318
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,10,10.439341583754867
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,10,1.406062124762684
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,11,10.17432495765388
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,11,1.5585293746553361
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,12,9.17003604117781
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,12,1.4612402920611203
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,13,9.196579500101507
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,13,1.4019923331215978
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,14,9.259026709012687
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,14,1.406382542103529
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,15,9.234353207983077
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,15,1.507584999781102
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,16,9.160810249857605
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,16,1.4708411246538162
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,17,9.22448637522757
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,17,1.4064545831643045
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,18,9.274722666945308
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,18,1.3999414169229567
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,19,9.215128667186946
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,19,1.5067280838266015
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,20,9.135034790728241
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,20,1.467405625153333
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,21,9.240140000358224
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,21,1.4067802503705025
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,22,9.257147000171244
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,22,1.4035569997504354
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,23,9.232075333129615
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,23,1.5058202911168337
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,24,9.148136708885431
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,24,1.4659930001944304
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,tensor,25,9.332960334140807
pizza,csc,0.05,(subClassOf | onProperty)+ disjointWith*,bfs,25,1.3982369168661535
pizza,csc,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,1,19.56891379225999
pizza,csc,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,1,1.6110052922740579
pizza,csc,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,2,19.48351945821196
pizza,csc,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,2,1.6850317912176251
pizza,csc,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,3,19.541949416976422
pizza,csc,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,3,1.6033770837821066
pizza,csc,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,4,19.704274999909103
pizza,csc,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,4,1.7111661252565682
pizza,csc,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,5,19.463223374914378
pizza,csc,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,5,1.7999110003001988
pizza,csc,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,6,24.011691792402416
pizza,csc,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,6,1.6539258332923055
pizza,csc,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,7,23.309996665921062
pizza,csc,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,7,1.7012251671403646
pizza,csc,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,8,19.945158500224352
pizza,csc,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,8,1.6063221669755876
pizza,csc,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,tensor,9,20.37525812489912
pizza,csc,0.05,disjointWith type subClassOf (onProperty | disjointWith)*,bfs,9,1.6023268327116966
